loc_i,loc_j,coupling force
13320102,6120103,9.03647e-05
7220204,6120103,0.0002465348
6320101,6120103,0.0002490143
2320103,6120103,5.21951e-05
14120202,6120103,3.97085e-05
14320303,6120103,7.50126e-05
6220301,6120103,0.001738317
8320401,6120103,3.26527e-05
4220302,6120103,1.11232e-05
6320203,6120103,0.0002142272
14220201,6120103,5.48328e-05
2120303,6120103,1.60447e-05
4120101,6120103,5.54754e-05
9320201,6120103,0.0001296316
4220201,6120103,9.4902e-06
8120202,6120103,0.0001105094
4220402,6120103,6.1417e-06
2120304,6120103,0.0001230628
6320201,6120103,0.000102694
1330111,6120103,2.27879e-05
9220101,6120103,0.0017833535
5120201,6120103,7.15866e-05
1230112,6120103,0.000205029
14120103,6120103,1.8619e-05
9120403,6120103,2.21848e-05
11220103,6120103,1.83258e-05
12120201,6120103,1.52966e-05
5320101,6120103,0.0008997785
6220303,6120103,0.0025208771
9220201,6120103,0.0008897132
9120104,6120103,7.70627e-05
6220205,6120103,0.0004006617
5420101,6120103,0.0002883237
10320302,6120103,0.0002634065
12320202,6120103,4.05227e-05
11220102,6120103,4.28989e-05
12220202,6120103,0.0001528555
2220101,6120103,2.4819e-06
5120102,6120103,0.0002666074
11220201,6120103,9.99697e-05
9120201,5220301,2.8836e-06
6120201,5220301,1.67632e-05
1230114,5220301,3.09974e-05
12220101,5220301,5.22967e-05
9320102,5220301,2.32054e-05
1430112,5220301,1.5093e-06
5220102,5220301,0.0015785589
7230111,5220301,2.83144e-05
12120103,5220301,5.4493e-06
7220303,5220301,1.12283e-05
1130123,5220301,2.42714e-05
1430115,5220301,5.05648e-05
1130142,5220301,3.1995e-06
7120301,5220301,1.25547e-05
11320103,5220301,8.45416e-05
1230133,5220301,3.6079e-05
5320202,5220301,0.0001584133
1320102,5220301,1.94067e-05
1130113,5220301,3.958e-05
1230124,5220301,6.9579e-06
1230113,5220301,1.07586e-05
1130122,5220301,1.02035e-05
4120203,5220301,6.281e-07
1430113,5220301,6.9421e-06
1230111,5220301,1.34687e-05
12320103,5220301,6.41896e-05
1130143,5220301,1.13249e-05
1230121,5220301,9.4879e-06
7120303,5220301,2.62327e-05
1130141,5220301,2.71876e-05
1130134,5220301,9.608e-07
9120402,5220301,6.0816e-06
7230122,5220301,3.06082e-05
1230126,5220301,3.60965e-05
1130121,5220301,5.3521e-06
7320401,5220301,3.21634e-05
10220304,5220301,0.0021932762
7120302,5220301,5.40475e-05
9320202,5220301,8.6701e-06
1320103,5220301,2.36892e-05
1230131,5220301,3.68674e-05
1130115,5220301,3.01397e-05
9220103,5220301,5.2095e-06
7220203,5220301,3.06543e-05
9220303,5220301,3.40569e-05
7220302,5220301,1.18247e-05
13120101,5220301,0.0009145686
5220302,5220301,0.0027028753
1320101,5220301,2.15324e-05
6220101,5220301,8.5015e-06
3320205,5220301,4.6806e-06
11120203,5220301,9.533e-07
5420104,5220301,0.0003199269
7230121,5220301,1.59415e-05
1130133,5220301,4.6237e-05
1230132,5220301,1.6786e-05
1230123,5220301,1.19125e-05
1130132,5220301,1.8856e-06
1130124,5220301,3.28674e-05
5420103,5220301,0.000451992
1130112,5220301,1.30997e-05
1230127,5220301,3.87498e-05
7120201,5220301,1.26098e-05
13320101,5220301,0.0006501138
7120202,5220301,7.8161e-06
1230135,5220301,5.83866e-05
1430111,5220301,1.64921e-05
1230125,5220301,2.25897e-05
10120203,5220301,1.26899e-05
1330112,5220301,5.90366e-05
10120204,5220301,0.0016165535
6120202,5220301,1.24111e-05
1130126,5220301,7.3564e-06
6220102,5220301,3.0572e-06
6220304,5220301,5.5136e-06
5220101,5220301,0.0002863278
6220204,5220301,5.7653e-06
1130125,5220301,2.38654e-05
11220202,5220301,4.01893e-05
1130144,5220301,5.4507e-06
4320101,5220301,3.0632e-06
1130114,5220301,2.24415e-05
1130131,5220301,2.18597e-05
3220203,5220301,8.8516e-06
1330113,5220301,2.13994e-05
14120101,5220301,0.0001126375
6120303,5220301,1.21065e-05
1430114,5220301,1.24962e-05
4220403,5220301,4.35404e-05
10120301,5220301,7.34292e-05
4120102,5220301,1.8337e-06
12320101,5220301,0.0001515289
14220302,5220301,2.53743e-05
11120202,5220301,5.3519e-06
8120204,5220301,1.777e-06
12320303,5220301,0.0006931036
13320102,5220301,0.0010186562
2320103,5220301,1.606e-05
6320203,5220301,1.26016e-05
9320201,5220301,0.0003024738
4220201,5220301,1.42353e-05
8120202,5220301,2.76274e-05
2120304,5220301,1.1501e-06
1330111,5220301,2.95399e-05
5120201,5220301,9.30625e-05
1230112,5220301,1.64023e-05
