loc_i,loc_j,coupling force
3120303,9320203,0.000342964
1230124,9320203,0.0001448261
3320301,9320203,0.0001450543
12120103,9320203,2.55586e-05
10220302,9320203,6.453e-06
6220101,9320203,1.63952e-05
3320205,9320203,6.3016e-05
1130124,9320203,7.27559e-05
6120102,9320203,0.000191955
6120301,9320203,0.0002699105
8220404,9320203,5.67097e-05
1430115,9320203,0.0001302722
2120402,9320203,2.31104e-05
10120203,9320203,4.9539e-06
7120301,9320203,3.48965e-05
1230133,9320203,5.91478e-05
5320202,9320203,2.4083e-06
6120203,9320203,4.05027e-05
3320203,9320203,0.000636707
2120304,9320203,3.80986e-05
7120303,9320203,4.73992e-05
1130133,9320203,3.46128e-05
9220301,9320203,0.0002029077
4120203,9320203,8.6217e-06
3320101,9320203,0.0001529569
1230127,9320203,2.01854e-05
1430113,9320203,5.41389e-05
8220304,9320203,2.57346e-05
6120103,9320203,5.32551e-05
8320103,9320203,0.0001126505
1230111,9320203,2.9314e-05
8220103,9320203,0.0004596022
4220202,9320203,1.01645e-05
1130125,9320203,2.16849e-05
5220203,9320203,0.0004018257
11120201,9320203,2.0142e-06
1130143,9320203,3.0708e-05
8120101,9320203,0.0001528264
12120101,9320203,0.0003767801
6120201,9320203,0.0001473498
9220103,9320203,4.13975e-05
8320203,9320203,1.30513e-05
1130134,9320203,3.10322e-05
2120103,9320203,2.9668e-06
9120402,9320203,0.0002445235
6220102,9320203,2.64123e-05
10220301,9320203,1.4853e-06
1130112,9320203,7.9814e-06
7220303,9320203,5.43564e-05
7230122,9320203,2.87103e-05
9120102,9320203,0.0005685518
1130121,9320203,1.72223e-05
1430112,9320203,1.26215e-05
1230121,9320203,9.1967e-06
4120201,9320203,0.0001608933
10220304,9320203,1.26962e-05
7320401,9320203,7.05343e-05
1320103,9320203,5.90797e-05
1230134,9320203,1.9555e-05
1230131,9320203,3.60069e-05
1130115,9320203,3.33452e-05
8220102,9320203,0.0002833863
6320204,9320203,0.0001648128
9320201,9320203,0.011954798
11220101,9320203,1.2086e-06
8120105,9320203,0.0002745263
3120302,9320203,0.0009626075
7220203,9320203,0.0003858579
8120305,9320203,1.25622e-05
14120102,9320203,4.65643e-05
6320102,9320203,0.0008222802
7220302,9320203,4.54891e-05
8220203,9320203,0.0001631731
